City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
160,Nouadhibou,MR,20.931,-17.0347,71.19,55,0,15.79,clear sky,2021-01-28 20:09:30
161,Izberbash,RU,42.5696,47.8645,42.8,75,100,11.18,overcast clouds,2021-01-28 20:14:16
162,Kopervik,NO,59.2835,5.3067,32.0,69,40,11.5,scattered clouds,2021-01-28 20:11:45
163,Dolzhanskaya,RU,46.6311,37.8039,34.0,81,0,18.01,clear sky,2021-01-28 20:14:16
164,Tura,IN,25.5198,90.2201,58.48,59,0,3.11,clear sky,2021-01-28 20:12:00
165,Manjeshwar,IN,12.7194,74.8861,75.2,83,93,4.94,overcast clouds,2021-01-28 20:14:16
166,North Platte,US,41.1239,-100.7654,19.4,73,1,9.22,clear sky,2021-01-28 20:14:16
167,Mahebourg,MU,-20.4081,57.7,75.2,94,75,5.75,light rain,2021-01-28 20:14:16
168,Mahajanga,MG,-15.7167,46.3167,82.4,83,20,5.75,few clouds,2021-01-28 20:12:22
169,Shingu,JP,33.7333,135.9833,34.59,84,1,20.04,clear sky,2021-01-28 20:09:13
170,Longyearbyen,SJ,78.2186,15.6401,-2.2,55,20,27.63,few clouds,2021-01-28 20:14:17
171,Gizo,SB,-8.103,156.8419,83.7,76,100,15.7,moderate rain,2021-01-28 20:13:02
172,Kabompo,ZM,-13.5927,24.2008,66.31,90,100,1.77,overcast clouds,2021-01-28 20:14:17
173,Kutum,SD,14.2,24.6667,62.37,23,64,13.71,broken clouds,2021-01-28 20:14:17
174,Souillac,MU,-20.5167,57.5167,75.2,94,75,5.75,light rain,2021-01-28 20:14:17
175,Cherskiy,RU,68.75,161.3,-27.78,85,93,2.89,overcast clouds,2021-01-28 20:14:18
176,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,58,0,16.11,clear sky,2021-01-28 20:13:02
177,Naryan-Mar,RU,67.6713,53.087,-30.8,84,0,7.87,clear sky,2021-01-28 20:14:18
178,Los Llanos De Aridane,ES,28.6585,-17.9182,66.99,88,75,3.44,broken clouds,2021-01-28 20:14:18
179,Bengkulu,ID,-3.8004,102.2655,75.07,90,98,9.1,overcast clouds,2021-01-28 20:14:18
180,Fairbanks,US,64.8378,-147.7164,-7.01,77,20,2.53,few clouds,2021-01-28 20:14:18
181,Taoudenni,ML,22.6783,-3.9836,71.78,22,0,15.52,clear sky,2021-01-28 20:08:20
182,Carnarvon,AU,-24.8667,113.6333,73.4,88,0,13.8,clear sky,2021-01-28 20:14:19
183,Pangnirtung,CA,66.1451,-65.7125,-7.6,84,1,8.05,clear sky,2021-01-28 20:14:19
184,Karratha,AU,-20.7377,116.8463,83.48,71,0,10.4,light rain,2021-01-28 20:14:19
185,Conde,BR,-7.2597,-34.9075,82.4,69,20,11.5,few clouds,2021-01-28 20:14:19
186,Haga,NL,52.0767,4.2986,46.0,100,90,4.61,mist,2021-01-28 20:10:30
187,Ishigaki,JP,24.3448,124.1572,57.94,75,34,32.17,scattered clouds,2021-01-28 20:14:19
188,Monster,NL,52.0258,4.175,46.0,100,90,4.61,mist,2021-01-28 20:14:20
189,Pobe,BJ,6.9801,2.6649,79.61,77,6,8.97,clear sky,2021-01-28 20:14:20
190,Hamilton,US,39.1834,-84.5333,30.99,51,90,9.22,overcast clouds,2021-01-28 20:14:20
191,Jamtara,IN,23.95,86.8,53.58,39,0,6.17,clear sky,2021-01-28 20:14:20
192,Gibara,CU,21.1097,-76.1317,87.8,35,40,9.22,scattered clouds,2021-01-28 20:14:20
193,Pirai Do Sul,BR,-24.5261,-49.9486,75.0,99,100,1.99,light rain,2021-01-28 20:14:20
194,Kabwe,ZM,-14.4469,28.4464,65.98,90,98,3.13,overcast clouds,2021-01-28 20:13:19
195,Mogadishu,SO,2.0371,45.3438,77.31,79,0,23.24,clear sky,2021-01-28 20:13:35
196,Kendari,ID,-3.945,122.4989,74.26,94,100,0.58,overcast clouds,2021-01-28 20:14:21
197,Coolum Beach,AU,-26.5333,153.1,77.0,84,27,1.01,scattered clouds,2021-01-28 20:14:21
198,Dossor,KZ,47.5272,52.9811,35.87,81,100,24.38,overcast clouds,2021-01-28 20:14:21
199,General Roca,AR,-39.0333,-67.5833,73.4,31,0,5.75,clear sky,2021-01-28 20:14:21
200,Avarua,CK,-21.2078,-159.775,84.2,70,20,13.8,few clouds,2021-01-28 20:07:15
201,Sungai Besar,MY,3.6746,100.9867,75.2,94,20,4.83,few clouds,2021-01-28 20:11:18
202,Saint George,US,37.1041,-113.5841,54.0,35,1,13.8,clear sky,2021-01-28 20:14:22
203,Killarney,IE,52.05,-9.5167,50.0,81,75,10.36,light rain,2021-01-28 20:14:22
204,Tuatapere,NZ,-46.1333,167.6833,48.0,80,91,8.01,overcast clouds,2021-01-28 20:14:22
205,Marsaxlokk,MT,35.8419,14.5431,57.99,88,75,9.22,broken clouds,2021-01-28 20:14:22
206,Lake Havasu City,US,34.4839,-114.3224,57.99,41,1,7.92,clear sky,2021-01-28 20:14:22
207,Brae,GB,60.3964,-1.353,30.2,74,20,10.36,light snow,2021-01-28 20:13:13
208,Alihe,CN,50.5667,123.7167,-26.46,80,49,2.68,scattered clouds,2021-01-28 20:14:23
209,Chernyshevskiy,RU,63.0128,112.4714,-43.87,81,91,3.09,overcast clouds,2021-01-28 20:14:23
210,Byron Bay,AU,-28.65,153.6167,75.2,73,40,8.05,scattered clouds,2021-01-28 20:14:23
211,Nanortalik,GL,60.1432,-45.2371,30.92,92,100,4.56,overcast clouds,2021-01-28 20:08:06
212,Saint Anthony,US,45.0205,-93.218,21.99,58,75,11.5,broken clouds,2021-01-28 20:14:23
213,Kieta,PG,-6.2167,155.6333,81.05,82,100,12.55,overcast clouds,2021-01-28 20:14:23
214,Okhotsk,RU,59.3833,143.3,-12.93,78,0,7.36,clear sky,2021-01-28 20:14:23
215,Pyaozerskiy,RU,65.8333,31.1667,11.28,95,100,11.07,light snow,2021-01-28 20:14:24
216,Ponta Do Sol,PT,32.6667,-17.1,60.01,77,46,1.99,scattered clouds,2021-01-28 20:14:24
217,Kanakapura,IN,12.55,77.4167,64.02,88,1,7.61,clear sky,2021-01-28 20:14:24
218,Kisaran,ID,2.9845,99.6158,72.19,92,100,2.1,heavy intensity rain,2021-01-28 20:14:24
219,Dharan,NP,26.8125,87.2835,56.37,58,0,5.37,clear sky,2021-01-28 20:13:07
220,Witu,KE,-2.3889,40.4382,78.8,83,20,4.61,few clouds,2021-01-28 20:14:24
221,Raga,SS,8.4596,25.678,77.14,21,10,3.62,clear sky,2021-01-28 20:14:25
222,Dickinson,US,29.4608,-95.0513,60.01,38,1,3.44,clear sky,2021-01-28 20:12:54
223,Anadyr,RU,64.75,177.4833,5.0,78,75,11.18,heavy snow,2021-01-28 20:14:25
224,Zilupe,LV,56.3862,28.1217,29.66,99,100,2.93,light snow,2021-01-28 20:14:25
225,Nuuk,GL,64.1835,-51.7216,30.2,59,20,17.27,few clouds,2021-01-28 20:11:09
226,Matara,LK,5.9485,80.5353,76.96,84,9,4.05,clear sky,2021-01-28 20:14:25
227,Tezu,IN,27.9167,96.1667,58.8,32,0,4.38,clear sky,2021-01-28 20:14:26
228,Yumen,CN,40.2833,97.2,21.69,73,0,14.23,clear sky,2021-01-28 20:12:52
229,Puerto Carreno,CO,6.189,-67.4859,92.95,36,100,14.38,overcast clouds,2021-01-28 20:12:36
230,Ballina,AU,-28.8667,153.5667,75.2,73,40,8.05,scattered clouds,2021-01-28 20:14:26
231,Severo-Yeniseyskiy,RU,60.3725,93.0408,-38.02,81,86,3.47,overcast clouds,2021-01-28 20:14:26
232,Constitucion,CL,-35.3333,-72.4167,66.56,68,100,12.35,overcast clouds,2021-01-28 20:14:26
233,Andenes,NO,69.3143,16.1194,23.0,68,0,18.41,clear sky,2021-01-28 20:14:26
234,Kruisfontein,ZA,-34.0033,24.7314,64.0,78,0,0.74,clear sky,2021-01-28 20:12:45
235,Zhigalovo,RU,54.8097,105.1578,-30.01,80,47,4.27,scattered clouds,2021-01-28 20:14:27
236,Haines Junction,CA,60.7522,-137.5108,-22.0,76,100,1.54,overcast clouds,2021-01-28 20:08:28
237,Turan,VN,16.0678,108.2208,64.4,94,20,2.3,mist,2021-01-28 20:14:27
238,Kulhudhuffushi,MV,6.6221,73.07,81.05,59,3,6.06,clear sky,2021-01-28 20:12:42
239,Majene,ID,-3.5403,118.9707,79.48,74,100,8.99,light rain,2021-01-28 20:14:27
240,Ancud,CL,-41.8697,-73.8203,66.0,77,75,6.91,broken clouds,2021-01-28 20:14:28
241,Grand-Lahou,CI,5.1367,-5.0242,79.39,82,58,8.55,broken clouds,2021-01-28 20:14:28
242,Port Shepstone,ZA,-30.7414,30.455,69.37,82,20,2.39,few clouds,2021-01-28 20:14:28
243,Cape Town,ZA,-33.9258,18.4232,68.0,68,0,9.22,clear sky,2021-01-28 20:14:27
244,Geraldton,AU,-28.7667,114.6,68.0,73,0,10.36,clear sky,2021-01-28 20:12:52
245,Coralville,US,41.6764,-91.5805,23.0,63,1,6.91,clear sky,2021-01-28 20:10:56
246,Berlevag,NO,70.8578,29.0864,21.2,73,0,18.41,clear sky,2021-01-28 20:10:00
247,Marfino,RU,55.7028,37.3822,34.0,100,90,11.18,light snow,2021-01-28 20:14:28
248,Sabang,ID,5.8933,95.3214,81.52,76,100,13.56,overcast clouds,2021-01-28 20:14:29
249,Cidreira,BR,-30.1811,-50.2056,73.89,89,100,10.51,light rain,2021-01-28 20:14:29
250,Tanete,ID,-3.9443,119.7848,74.3,90,100,1.66,overcast clouds,2021-01-28 20:14:29
251,Hunchun,CN,42.8675,130.3581,-2.2,74,47,19.35,scattered clouds,2021-01-28 20:14:29
252,Bambanglipuro,ID,-7.95,110.2833,77.22,85,100,6.76,overcast clouds,2021-01-28 20:12:11
253,Talcahuano,CL,-36.7167,-73.1167,64.4,77,90,13.8,overcast clouds,2021-01-28 20:14:29
254,Torbay,CA,47.6666,-52.7314,27.0,93,90,11.5,light snow,2021-01-28 20:08:48
255,Klaksvik,FO,62.2266,-6.589,32.0,64,0,12.66,clear sky,2021-01-28 20:14:30
256,Colares,PT,38.7992,-9.4469,57.99,100,64,4.07,broken clouds,2021-01-28 20:14:30
257,Egvekinot,RU,66.3167,-179.1667,-16.89,85,99,21.99,overcast clouds,2021-01-28 20:14:30
258,Sorland,NO,67.667,12.6934,32.0,69,75,17.27,broken clouds,2021-01-28 20:09:38
259,Panzhihua,CN,26.5851,101.7128,41.0,71,0,1.23,clear sky,2021-01-28 20:14:30
260,Vila Velha,BR,-20.3297,-40.2925,84.2,65,0,18.41,clear sky,2021-01-28 20:14:30
261,Darhan,MN,49.4867,105.9228,-0.67,84,30,2.55,scattered clouds,2021-01-28 20:14:30
262,Clyde River,CA,70.4692,-68.5914,-18.4,76,40,5.75,scattered clouds,2021-01-28 20:14:31
263,Fairview,US,40.8126,-73.999,33.8,34,1,10.36,clear sky,2021-01-28 20:14:31
264,Bilibino,RU,68.0546,166.4372,-18.35,81,100,7.63,overcast clouds,2021-01-28 20:08:18
265,Ambovombe,MG,-25.1667,46.0833,78.12,87,58,11.1,broken clouds,2021-01-28 20:14:31
266,Guerrero Negro,MX,27.9769,-114.0611,70.34,23,0,4.34,clear sky,2021-01-28 20:13:12
267,Puro,PH,12.4841,123.3827,76.69,76,99,15.7,overcast clouds,2021-01-28 20:12:47
268,Ambon,ID,-3.6954,128.1814,81.0,90,94,17.54,overcast clouds,2021-01-28 20:14:32
269,Talnakh,RU,69.4865,88.3972,-33.38,74,0,5.46,clear sky,2021-01-28 20:14:32
270,East London,ZA,-33.0153,27.9116,69.89,75,61,9.57,broken clouds,2021-01-28 20:07:25
271,Roma,US,43.2128,-75.4557,19.0,67,90,17.27,light snow,2021-01-28 20:10:05
272,Redmond,US,47.674,-122.1215,44.01,94,100,0.69,moderate rain,2021-01-28 20:11:46
273,Olavarria,AR,-36.8927,-60.3225,87.8,15,100,9.22,overcast clouds,2021-01-28 20:13:12
274,San Matias,BO,-16.3667,-58.4,85.51,67,79,6.87,broken clouds,2021-01-28 20:14:33
275,High Prairie,CA,55.4334,-116.4858,-4.0,77,78,1.14,broken clouds,2021-01-28 20:14:33
276,Abu Dhabi,AE,24.4667,54.3667,68.0,77,0,3.44,clear sky,2021-01-28 20:11:04
277,Bartlesville,US,36.7473,-95.9808,39.0,65,3,1.99,clear sky,2021-01-28 20:14:33
278,Tasiilaq,GL,65.6145,-37.6368,28.4,86,90,18.41,snow,2021-01-28 20:14:33
279,Vaitape,PF,-16.5167,-151.75,81.46,67,88,8.7,overcast clouds,2021-01-28 20:14:33
280,Yenagoa,NG,4.9247,6.2642,78.84,84,99,7.47,overcast clouds,2021-01-28 20:14:33
281,Jeremie,HT,18.65,-74.1167,78.73,71,21,6.4,few clouds,2021-01-28 20:14:34
282,Bambous Virieux,MU,-20.3428,57.7575,78.01,94,75,5.75,broken clouds,2021-01-28 20:14:34
283,Gladstone,AU,-23.85,151.25,73.4,83,16,8.05,few clouds,2021-01-28 20:14:34
284,New Delhi,IN,28.6128,77.2311,50.0,87,0,2.98,fog,2021-01-28 20:14:34
285,Sept-Iles,CA,50.2001,-66.3821,21.2,53,32,5.75,scattered clouds,2021-01-28 20:08:52
286,Ulaangom,MN,49.9811,92.0667,-14.33,87,36,1.14,scattered clouds,2021-01-28 20:14:34
287,Vardo,NO,70.3705,31.1107,23.0,74,75,25.32,broken clouds,2021-01-28 20:14:34
288,Tuni,IN,17.35,82.55,70.47,88,21,3.85,few clouds,2021-01-28 20:14:35
289,Stornoway,GB,58.2093,-6.3865,37.4,93,90,21.85,overcast clouds,2021-01-28 20:14:35
290,Roros,NO,62.5747,11.3842,3.2,78,90,1.14,fog,2021-01-28 20:14:35
291,Hualmay,PE,-11.0964,-77.6139,76.06,65,5,11.77,clear sky,2021-01-28 20:13:18
292,Teya,RU,60.3778,92.6267,-34.62,77,95,3.02,overcast clouds,2021-01-28 20:14:35
293,Nishihara,JP,26.1842,127.7558,57.2,44,75,21.85,broken clouds,2021-01-28 20:13:01
294,Mersin,TR,36.862,34.6509,48.2,71,75,2.3,broken clouds,2021-01-28 20:14:36
295,College,US,64.8569,-147.8028,-7.01,70,75,2.68,broken clouds,2021-01-28 20:13:09
296,Borovoy,RU,55.4333,86.0833,23.0,80,90,15.66,snow,2021-01-28 20:14:36
297,Gbarnga,LR,6.9956,-9.4722,79.59,67,21,5.57,few clouds,2021-01-28 20:14:36
298,Alice Springs,AU,-23.7,133.8833,80.6,47,75,3.44,broken clouds,2021-01-28 20:09:11
299,Bardiyah,LY,31.7561,25.0865,54.28,70,48,19.64,scattered clouds,2021-01-28 20:14:36
300,Paka,MY,4.6374,103.4368,75.2,94,100,1.14,overcast clouds,2021-01-28 20:14:37
301,Sukhodol,RU,53.9006,51.2117,19.69,96,100,12.01,overcast clouds,2021-01-28 20:14:37
302,Zyryanka,RU,65.75,150.85,-23.46,86,100,10.22,overcast clouds,2021-01-28 20:14:37
303,Tautira,PF,-17.7333,-149.15,86.0,58,75,5.75,broken clouds,2021-01-28 20:14:37
304,Havoysund,NO,70.9963,24.6622,24.8,67,75,18.41,broken clouds,2021-01-28 20:14:37
305,Iqaluit,CA,63.7506,-68.5145,-11.2,70,1,27.63,snow,2021-01-28 20:13:53
