City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mogok,MM,2021-01-28 20:11:59,22.9167,96.5,55.54,70,0,1.9
1,Ribeira Grande,PT,2021-01-28 20:02:12,38.5167,-28.7,64.4,88,75,28.77
2,Bluff,NZ,2021-01-28 20:01:11,-46.6,168.3333,48.0,80,99,8.01
3,Ushuaia,AR,2021-01-28 19:59:36,-54.8,-68.3,44.6,81,75,23.02
4,Pisco,PE,2021-01-28 20:02:05,-13.7,-76.2167,78.01,73,0,9.22
5,Tura,IN,2021-01-28 20:12:00,25.5198,90.2201,58.48,59,0,3.11
6,Rikitea,PF,2021-01-28 20:02:13,-23.1203,-134.9692,79.3,69,91,3.94
7,Champerico,GT,2021-01-28 20:12:00,14.3,-91.9167,93.2,46,40,6.91
8,New Norfolk,AU,2021-01-28 20:02:12,-42.7826,147.0587,57.99,58,93,1.99
9,Cotonou,BJ,2021-01-28 20:12:00,6.3654,2.4183,84.2,79,20,11.5
10,Boyolangu,ID,2021-01-28 20:12:00,-8.1181,111.8935,74.82,89,100,8.48
11,Chuy,UY,2021-01-28 20:02:30,-33.6971,-53.4616,77.88,53,81,12.26
12,Lakatoro,VU,2021-01-28 20:12:01,-16.0999,167.4164,79.75,80,100,2.57
13,Aklavik,CA,2021-01-28 20:02:11,68.2191,-135.0107,-22.0,76,75,5.75
14,Roseburg,US,2021-01-28 20:10:18,43.2165,-123.3417,43.0,81,90,3.44
15,Ossora,RU,2021-01-28 20:12:01,59.2353,163.0719,1.35,85,100,4.14
16,Vaini,TO,2021-01-28 20:12:01,-21.2,-175.2,78.8,94,90,18.41
17,Kapaa,US,2021-01-28 20:12:02,22.0752,-159.319,75.2,78,75,17.27
18,Port Macquarie,AU,2021-01-28 20:03:46,-31.4333,152.9167,69.8,100,90,6.91
19,Albany,US,2021-01-28 20:00:17,42.6001,-73.9662,24.01,49,36,3.0
20,Faanui,PF,2021-01-28 20:02:15,-16.4833,-151.75,81.43,68,84,8.79
21,Port Elizabeth,ZA,2021-01-28 19:57:52,-33.918,25.5701,62.6,82,0,4.61
22,Mogadishu,SO,2021-01-28 19:58:56,2.0371,45.3438,77.31,79,0,23.24
23,Ancud,CL,2021-01-28 20:02:38,-41.8697,-73.8203,66.0,82,75,5.75
24,Alamos,MX,2021-01-28 20:12:03,27.0167,-108.9333,70.0,59,100,6.98
25,Launceston,AU,2021-01-28 20:12:03,-41.45,147.1667,51.8,71,90,8.05
26,Airai,TL,2021-01-28 20:02:37,-8.9266,125.4092,61.81,100,100,4.47
27,Tucumcari,US,2021-01-28 20:12:03,35.1717,-103.725,51.8,22,1,14.97
28,Ust-Nera,RU,2021-01-28 20:12:03,64.5667,143.2,-30.32,75,88,1.32
29,Urengoy,RU,2021-01-28 20:12:04,65.9667,78.3667,-31.77,83,100,11.52
30,Erzin,TR,2021-01-28 20:12:04,36.9559,36.2,55.0,63,100,6.96
31,Kodiak,US,2021-01-28 20:02:56,57.79,-152.4072,35.6,80,90,13.8
32,Sinop,TR,2021-01-28 20:12:04,41.7711,34.8709,31.1,96,100,1.52
33,Busselton,AU,2021-01-28 20:02:20,-33.65,115.3333,63.0,77,0,13.11
34,Flin Flon,CA,2021-01-28 20:03:31,54.7682,-101.865,1.4,78,90,11.5
35,Marrakesh,MA,2021-01-28 20:12:04,31.6315,-8.0083,68.0,37,0,5.75
36,Albox,ES,2021-01-28 20:12:05,37.3886,-2.1495,64.99,40,97,5.99
37,Yellowknife,CA,2021-01-28 20:00:03,62.456,-114.3525,-23.8,76,75,5.75
38,Verkhnyaya Inta,RU,2021-01-28 20:12:05,65.9811,60.3094,-26.64,86,81,4.56
39,Mataura,NZ,2021-01-28 20:08:12,-46.1927,168.8643,48.0,80,87,8.01
40,Punta Arenas,CL,2021-01-28 20:07:58,-53.15,-70.9167,48.2,57,75,23.02
41,Sao Filipe,CV,2021-01-28 20:02:10,14.8961,-24.4956,75.58,66,0,4.32
42,Katima Mulilo,NA,2021-01-28 20:12:06,-17.5,24.2667,70.59,92,100,3.44
43,Abu Kamal,SY,2021-01-28 20:12:06,34.4506,40.9171,52.54,64,32,0.43
44,Georgetown,MY,2021-01-28 20:07:24,5.4112,100.3354,78.8,94,20,6.33
45,Eirunepe,BR,2021-01-28 20:03:06,-6.6603,-69.8736,82.62,87,100,1.05
46,Makinsk,KZ,2021-01-28 20:11:19,52.6292,70.4169,17.64,94,100,13.33
47,Galesong,ID,2021-01-28 20:02:16,-5.3166,119.3661,75.2,100,40,2.3
48,Chake Chake,TZ,2021-01-28 20:12:06,-5.2459,39.7666,79.75,79,0,14.45
49,Pauini,BR,2021-01-28 20:12:06,-7.7136,-66.9764,85.17,67,82,3.27
50,Ostrovnoy,RU,2021-01-28 19:59:32,68.0531,39.5131,-2.07,90,92,12.62
51,Cabo San Lucas,MX,2021-01-28 19:57:27,22.8909,-109.9124,78.8,24,40,9.22
52,Matveyev Kurgan,RU,2021-01-28 20:12:07,47.5645,38.8695,34.81,88,90,10.94
53,Muros,ES,2021-01-28 20:02:38,42.7762,-9.0603,57.99,93,100,17.52
54,Mount Gambier,AU,2021-01-28 20:01:03,-37.8333,140.7667,64.4,100,90,4.27
55,La Ferte-Bernard,FR,2021-01-28 20:12:07,48.1863,0.6536,54.0,100,90,9.22
56,Palmer,US,2021-01-28 20:02:36,42.1584,-72.3287,30.99,50,20,18.41
57,Diffa,NE,2021-01-28 20:12:08,13.3154,12.6113,71.64,21,93,10.4
58,Puerto Del Rosario,ES,2021-01-28 20:02:38,28.5004,-13.8627,68.0,83,0,4.61
59,Cape Town,ZA,2021-01-28 20:02:10,-33.9258,18.4232,68.0,63,0,9.22
60,Crevedia,RO,2021-01-28 20:12:08,44.6,25.9333,28.99,100,2,3.44
61,Hermanus,ZA,2021-01-28 20:12:08,-34.4187,19.2345,60.01,84,4,6.35
62,Nosy Varika,MG,2021-01-28 20:12:08,-20.5833,48.5333,78.62,82,0,3.4
63,Dawson Creek,CA,2021-01-28 20:00:40,55.7666,-120.2362,-5.8,65,1,2.3
64,Carnarvon,AU,2021-01-28 19:58:32,-24.8667,113.6333,73.4,83,0,14.97
65,Nemuro,JP,2021-01-28 20:02:46,43.3236,145.575,27.77,93,100,21.47
66,Fare,PF,2021-01-28 20:12:09,-16.7,-151.0167,81.03,68,95,8.34
67,Pangnirtung,CA,2021-01-28 20:03:38,66.1451,-65.7125,-4.0,71,1,3.44
68,Takaka,NZ,2021-01-28 20:12:09,-40.85,172.8,59.0,72,28,1.99
69,Victoria,HK,2021-01-28 20:02:12,22.2855,114.1577,61.0,55,6,1.99
70,Hobart,AU,2021-01-28 20:12:09,-42.8794,147.3294,59.0,55,75,11.5
71,Lasa,IT,2021-01-28 19:59:24,46.6166,10.7002,32.0,55,90,4.61
72,Simao,CN,2021-01-28 20:12:10,22.7886,100.9748,51.35,89,0,2.24
73,San Patricio,US,2021-01-28 20:02:49,28.017,-97.5169,62.6,51,75,10.36
74,Conceicao Das Alagoas,BR,2021-01-28 20:12:10,-19.9147,-48.3883,83.5,62,100,4.61
